datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,city
2025-05-10,1746815400,36.8,22.0,28.2,37.6,22.0,28.6,18.8,61.5,0.0,16.1,0.0,,0.0,0.0,24.1,18.0,263.9,1009.6,33.4,24.1,310.6,26.8,10.0,10.0,06:05:12,1746837312,18:45:52,1746882952,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,Dakshina Kannada
2025-05-11,1746901800,36.5,24.0,28.9,38.3,24.0,30.1,20.7,64.2,0.4,51.6,16.67,['rain'],0.0,0.0,22.7,18.0,247.1,1008.8,36.1,24.0,263.5,22.9,10.0,10.0,06:04:55,1746923695,18:46:07,1746969367,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,,fcst,Dakshina Kannada
2025-05-12,1746988200,36.6,24.4,28.9,38.9,24.4,30.3,21.8,69.1,2.0,87.1,29.17,['rain'],0.0,0.0,14.8,16.2,242.7,1008.0,15.1,23.1,276.4,24.2,8.0,30.0,06:04:38,1747010078,18:46:21,1747055781,0.5,Rain,Clear conditions throughout the day with storms possible.,rain,,fcst,Dakshina Kannada
2025-05-13,1747074600,35.9,23.5,28.5,39.2,23.5,30.3,22.1,70.8,0.5,90.3,12.5,['rain'],0.0,0.0,17.3,13.0,238.9,1007.9,59.7,24.1,255.4,21.9,7.0,30.0,06:04:22,1747096462,18:46:36,1747142196,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,,fcst,Dakshina Kannada
2025-05-14,1747161000,37.4,24.3,29.2,41.4,24.3,31.3,22.7,70.8,2.2,87.1,12.5,['rain'],0.0,0.0,18.0,13.3,266.8,1007.1,58.4,24.0,253.5,22.1,8.0,30.0,06:04:07,1747182847,18:46:51,1747228611,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,,fcst,Dakshina Kannada
2025-05-15,1747247400,32.3,24.5,27.1,37.3,24.5,29.0,23.8,83.2,21.5,90.3,29.17,['rain'],0.0,0.0,13.3,9.4,252.0,1008.2,97.6,19.6,188.8,16.4,6.0,60.0,06:03:52,1747269232,18:47:06,1747315026,0.59,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,,fcst,Dakshina Kannada
