datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,city
2025-01-01,1735669800,32.5,24.0,27.6,31.8,24.0,27.5,16.5,53.1,0.0,0.0,0.0,,0.0,0.0,27.4,27.7,83.0,1011.0,10.8,6.2,241.3,20.9,9.0,06:52:50,1735694570,18:15:44,1735735544,0.05,Clear,Clear conditions throughout the day.,clear-day,"['VOML', '43284099999']",obs,Dakshina_Kannada
2025-01-02,1735756200,31.6,22.0,26.0,31.5,22.0,26.0,16.2,56.3,0.0,0.0,0.0,,0.0,0.0,28.1,22.3,70.1,1011.4,17.1,5.3,221.3,19.0,8.0,06:53:13,1735780993,18:16:18,1735821978,0.08,Clear,Clear conditions throughout the day.,clear-day,"['VOML', '43284099999']",obs,Dakshina_Kannada
