datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk,city
2021-06-15,1623695400,28.1,23.0,25.6,32.8,23.0,26.8,23.7,89.4,33.0,100.0,20.83,['rain'],0.0,0.0,51.8,20.5,234.9,1005.8,100.0,3.6,111.2,9.7,5.0,06:04:46,1623717286,18:57:34,1623763654,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-16,1623781800,28.1,25.0,26.8,33.8,25.0,29.4,24.3,86.3,16.0,100.0,16.67,['rain'],0.0,0.0,52.6,37.1,223.9,1006.7,94.8,4.3,120.2,10.5,4.0,06:04:56,1623803696,18:57:49,1623850069,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-17,1623868200,29.0,25.0,27.1,35.6,25.0,30.1,24.2,84.4,15.0,100.0,8.33,['rain'],0.0,0.0,52.6,37.1,225.0,1007.7,91.1,4.6,158.2,13.7,5.0,06:05:07,1623890107,18:58:04,1623936484,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-18,1623954600,30.0,25.0,27.4,36.2,25.0,30.5,24.2,82.7,14.0,100.0,16.67,['rain'],0.0,0.0,47.2,29.5,219.7,1008.9,85.5,5.2,163.1,13.9,6.0,06:05:18,1623976518,18:58:19,1624022899,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-19,1624041000,28.0,23.0,24.7,32.7,23.0,25.1,22.6,88.4,74.0,100.0,20.83,['rain'],0.0,0.0,48.6,32.2,219.1,1010.6,95.1,4.2,122.0,10.6,5.0,06:05:30,1624062930,18:58:33,1624109313,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-20,1624127400,28.0,22.1,24.7,32.7,22.1,25.2,23.1,90.8,35.0,100.0,25.0,['rain'],0.0,0.0,39.6,11.2,354.6,1011.0,94.5,4.4,170.8,14.9,6.0,06:05:42,1624149342,18:58:46,1624195726,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-21,1624213800,29.0,24.0,25.0,33.6,24.0,25.5,23.5,91.6,35.0,100.0,12.5,['rain'],0.0,0.0,31.0,18.4,233.4,1010.3,90.3,4.0,182.1,15.7,7.0,06:05:55,1624235755,18:58:59,1624282139,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-22,1624300200,30.0,23.8,26.5,36.2,23.8,28.9,23.7,85.2,0.1,100.0,4.17,['rain'],0.0,0.0,29.2,16.6,276.9,1009.1,76.8,5.3,233.5,20.1,9.0,06:06:08,1624322168,18:59:12,1624368552,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-23,1624386600,31.0,24.0,27.3,37.7,24.0,30.4,24.3,84.3,44.0,100.0,4.17,['rain'],0.0,0.0,24.8,16.6,288.8,1008.6,70.8,5.6,191.1,16.4,7.0,06:06:22,1624408582,18:59:24,1624454964,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-24,1624473000,30.0,24.0,27.1,35.3,24.0,29.4,23.8,82.4,0.2,100.0,4.17,['rain'],0.0,0.0,30.2,13.0,268.9,1009.6,58.0,5.1,219.8,19.0,8.0,06:06:36,1624494996,18:59:36,1624541376,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
